Posting Date,Document Date,Document Type,Posting Date,Document Date,Document Type,Document No.,External Document No.,Account Type,Account No.,Description,Rc dimension Code,Department Code,Employee Code,Posting Group,Currency Code,Debit Amount,Credit Amount,Amount,Amount (LCY),Inter company Code,INCOME TYPE,ID,ENTRY PERIOD,PROJECT,Insurance Premium %,Total Income Amount
2025/5/31,2025/5/2,Invoice,2025/5/31,2025/5/5,Invoice,APA-0000401,20250502,G/L Account,18600-10,VCA.1342G AUTO IQ AUTOMOTIVE CYBERSECURITY SUMMIT September in Cali,VCT,VCT.9999,,,R-USD,"6,534.55",,"6,534.55","235,524.00",VCA,,,,,0,0
2025/5/31,2025/5/2,Invoice,2025/5/31,2025/5/5,Invoice,APA-0000401,20250505,G/L Account,18600-10,VCA.1342G AUTO ISAC Europe Summit May 6-8th Gothenburg Sweden,VCT,VCT.9999,,,R-USD,750,,750.00,,,,,,,,
2025/5/31,2025/5/2,Invoice,2025/5/31,2025/5/2,Invoice,APA-0000401,20250502,Vendor,V-VC00048,VCA.1342G Events,VCT,VCT.9999,,NORMAL,R-USD,,"7,284.55","-7,284.55","-235,524.00",,,,,,0,0
2025/5/31,2025/5/5,Invoice,2025/5/31,2025/3/31,Invoice,APA-0000451,5224028806,G/L Account,76900-10,"Usage Breakdown Compute Engine: NT$12,197.58 Networking: NT$2,811.74 Cloud Storage: NT$907.49",VCT,VCT.1692G,,,,"15,917.00",,"15,917.00","15,917.00",,,,,,0,0
2025/5/31,2025/3/31,Invoice,2025/5/31,2025/4/30,Invoice,APA-0000451,5224028806,G/L Account,76900-10,"Usage Breakdown Compute Engine: NT$21,968.49 Networking: NT$4,044.95 Cloud Storage: NT$1,433.15",VCT,VCT.1692G,,,,"27,447.00",,"27,447.00","27,447.00",,,,,,0,0
2025/5/31,2025/4/30,Invoice,2025/5/31,2025/4/30,Invoice,APA-0000451,5224028806,Vendor,V-VC00048,Item 1: Google Cloud Billing (2025/03/01-2025/03/31)Item 2: Google Cloud Billing (2025/04/01-2025/04,VCT,VCT.9999,,NORMAL,,,"43,364.00","-43,364.00","-43,364.00",,,,,,0,0
2025/5/31,2025/4/30,Invoice,2025/5/31,2025/4/2,Invoice,APA-0000463,R25817,G/L Account,76900-10,"Testmo Enterprise with 25 users (Mar 2025, 20 days)",VCT,VCT.1692G,,,R-USD,321.94,,321.94,"10,408.00",,,,,,0,0
2025/5/31,2025/4/2,Invoice,2025/5/31,2025/4/2,Invoice,APA-0000463,R25817,Vendor,V-VC00048,"Testmo Enterprise with 25 users (Mar 2025, 20 days)",VCT,VCT.9999,,NORMAL,R-USD,,321.94,-321.94,"-10,408.00",,,,,,0,0
