Posting Date,Document Date,Document Type,Document No.,External Document No.,Account Type,Account No.,Description,Rc dimension Code,Department Code,Employee Code,Posting Group,Currency Code,Debit Amount,Credit Amount,Amount,Amount (LCY),Inter company Code,Insurance Premium %,Total Income Amount
2025/5/31,2025/5/2,Invoice,APA-0000401,20250502,G/L Account,75510-10,AUTO IQ AUTOMOTIVE CYBERSECURITY SUMMIT September in Cali,VCA,VCA.1342G,,,,"6,534.55",,"6,534.55","6,534.55",,0,0
2025/5/31,2025/5/2,Invoice,APA-0000401,20250505,G/L Account,75510-10,AUTO ISAC Europe Summit May 6-8th Gothenburg Sweden,VCA,VCA.1342G,,,,750,,750,750,,0,0
2025/5/31,2025/5/2,Invoice,APA-0000401,20250505,Vendor,VCT,Events,VCA,VCA.9999,,NORMAL,,,"7,284.55","-7,284.55","-7,284.55",VCT,0,0
