Posting Date,Document Date,Document Type,Document No.,External Document No.,Account Type,Account No.,Description,Rc dimension Code,Department Code,Employee Code,Posting Group,Currency Code,Debit Amount,Credit Amount,Amount,Amount (LCY),Inter company Code,INCOME TYPE,ID,ENTRY PERIOD,PROJECT,Insurance Premium %,Total Income Amount
45831,45799,Invoice,APA-0000447,T400755571,G/L Account,72600-10,Peter Yang改票費用 May 15 Berlin-Vienna,VCT,VCT.1692G,N/A,,,33700,,33700,33700,,,,,,0,0
45831,45799,Invoice,APA-0000447,T400755571,Vendor,V04315397,Peter Yang改票費用 May 15 Berlin-Vienna,VCT,VCT.9999,,NORMAL,,,33700,-33700,-33700,,,,,,0,0
45831,45783,Invoice,APA-0000515,PD30826076,G/L Account,72600-30,桃園機場差旅接送｜東輝租車 202502〜202504,VCT,VCT.1751G,N/A,,,37590,,37590,37590,,,,,,0,0
45831,45783,Invoice,APA-0000515,PD30826076,Vendor,V22665986,桃園機場差旅接送｜東輝租車 202502〜202504,VCT,VCT.9999,,NORMAL,,,37590,-37590,-37590,,,,,,0,0
