_________,G/L Account,___,___,________,__No.,______________,______________,,,____,__,______________,___CD/___CD,___CD,__,____(__),Receipt/Invoice Note(__),Receipt/Invoice No.(__),__________,__
,G/L Account,45783,45824,45830,APA-0000515,72600-10,72600-30,,,37590,NTD,VCT.1751G,10129,V22665986,"APA-0000515 ___________ Local Travel Cost - Pick-up Service, Hotel",,_____________ 202502_202504,PD30826076,VCT.1751G,_____________ 202502_202504
,Vendor,45783,45824,45830,APA-0000515,,,31200-10,31200-10,37590,NTD,VCT.1751G,10129,V22665986,"APA-0000515 ___________ Local Travel Cost - Pick-up Service, Hotel",,_____________ 202502_202504,PD30826076,VCT.1751G,_____________ 202502_202504
,G/L Account,45799,45800,45830,APA-0000447,72600-10,,,,33700,NTD,VCT.1692G,Z00006,V04315397,APA-0000447 ________?____ Overseas Travel - Other Travel Costs,,Peter Yang____ May 15 Berlin-Vienna,T400755571,VCT.1692G,Peter Yang____ May 15 Berlin-Vienna
,Vendor,45799,45800,45830,APA-0000447,,,31200-10,31200-10,33700,NTD,VCT.1692G,Z00006,V04315397,APA-0000447 ________?____ Overseas Travel - Other Travel Costs,,Peter Yang____ May 15 Berlin-Vienna,T400755571,VCT.1692G,Peter Yang____ May 15 Berlin-Vienna
